id,label
n32,"Kreuter F, 2011, Sociol Method Res, V40, P311, Doi 10.1177/0049124111400042"
n33,"Brashears Me, 2011, Soc Networks, V33, P331, Doi 10.1016/j.socnet.2011.10.003"
n34,"Dow Mm, 1982, Soc Networks, V4, P169, Doi 10.1016/0378-8733(82)90031-4"
n35,"Ibarra H, 1993, Admin Sci Quart, V38, P277, Doi 10.2307/2393414"
n36,"Mcpherson M, 2008, Am Sociol Rev, V73, P1022"
n37,"Brewer Dd, 2000, Soc Networks, V22, P29, Doi 10.1016/s0378-8733(99)00017-9"
n38,"National Science Foundation National Center For Science And Engineering Statistics, 2015, 15311 Nsf Nat Ctr Sc"
n39,"Perneger Tv, 2005, Med Care, V43, P374, Doi 10.1097/01.mlr.0000156856.36901.40"
n40,"Brewer Dd, 1999, Soc Networks, V21, P361, Doi 10.1016/s0378-8733(99)00018-0"
n41,"Krackhardt D, 1988, Soc Networks, V10, P359, Doi 10.1016/0378-8733(88)90004-4"
n42,"Toppe Chris, 2006, Measuring Volunteeri"
n43,"Hubert Lawrence J., 1987, Assignment Methods C"
n44,"Smith Jw, 2005, Sociol Spectrum, V25, P307, Doi 10.1080/027321790518735"
n45,"Paik A, 2013, Am Sociol Rev, V78, P339, Doi 10.1177/0003122413482919"
n46,"Dillman D. A., 2009, Internet Mail Mixed"
n47,"Killworth Pd, 1976, Hum Organ, V35, P269"
n48,"Everett Mg, 2012, Soc Networks, V34, P562, Doi 10.1016/j.socnet.2012.06.002"
n49,"James Moody, Unpub"
n50,"Groves Rm, 2006, Public Opin Quart, V70, P720, Doi 10.1093/poq/nfl036"
n51,"Borgatti Sp, 2006, Soc Networks, V28, P124, Doi 10.1016/j.socnet.2005.05.001"
n52,"Mcpherson M, 2006, Am Sociol Rev, V71, P353"
n53,"Brashears Mathew E, 2008, Social Psychology Qu, V71, P72"
n54,"Jones Wh, 1978, J Marketing Res, V15, P280, Doi 10.2307/3151263"
n55,"Wu Bob T.w., 1983, J Small Bus Manage, V31, P30"
n56,"Jones Wh, 1979, Public Opin Quart, V43, P102, Doi 10.1086/268495"
n57,"Moody Joann, 2004, Faculty Diversity Pr"
n58,"Hampton Kn, 2011, Inform Commun Soc, V14, P130, Doi 10.1080/1369118x.2010.513417"
n59,"Fricker S, 2010, Public Opin Quart, V74, P934, Doi 10.1093/poq/nfq064"
n60,"Smith Ja, 2013, Soc Networks, V35, P652, Doi 10.1016/j.socnet.2013.09.003"
n61,"Edwards P, 2002, Brit Med J, V324, P1183, Doi 10.1136/bmj.324.7347.1183"
n62,"Kossinets G, 2006, Soc Networks, V28, P247, Doi 10.1016/j.socnet.2005.07.002"
n63,"Groves Robert M., 1998, Communication"
n64,"Collins Rl, 2000, Evaluation Rev, V24, P347"
n65,"Granovetter Ms, 1973, Am J Sociol, V78, P1360, Doi 10.1086/225469"
n66,"Thomas Sl, 2000, J High Educ, V71, P591, Doi 10.2307/2649261"
n67,"Jones Wh, 1980, J Marketing Res, V17, P69, Doi 10.2307/3151119"
n68,"Lin If, 1995, Public Opin Quart, V59, P236, Doi 10.1086/269471"
n69,"Thoits Pa, 1995, J Health Soc Behav, V35, P53, Doi 10.2307/2626957"
n70,"House J.s., 1987, Sociological Forum, V2, P135, Doi Doi 10.1007/bf01107897"
n71,"Putnam Robert, 2000, Bowling Alone"
n72,"Lessler Judith T., 1992, Nonsampling Error Su"
n73,"American Association For Public Opinion Research (aapor), 2015, Stand Def Fin Disp C"
n74,"Good P., 2000, Permutation Tests Pr"
n75,"Borgatti Sp, 2009, Science, V323, P892, Doi 10.1126/science.1165821"
n76,"Faris R, 2011, Am Sociol Rev, V76, P48, Doi 10.1177/0003122410396196"
n77,"Park Sm, 1996, J High Educ, V67, P46, Doi 10.2307/2943903"
n78,"Sudman S, 1974, J Marketing Res, V11, P128, Doi 10.2307/3150549"
n79,"Voydanoff P, 2005, J Marriage Fam, V67, P822, Doi 10.1111/j.1741-3737.2005.00178.x"
n80,"Rubin Lillian B., 1990, Just Friends Role Fr"
n81,"Lazarsfeld P. F., 1954, Freedom Control Mode, P18"
n82,"Abraham Kg, 2006, Public Opin Quart, V70, P676, Doi 10.1093/poq/nfl037"
n83,"Mcpherson M, 2001, Annu Rev Sociol, V27, P415, Doi 10.1146/annurev.soc.27.1.415"
n84,"Donald Mn, 1960, Public Opin Quart, V24, P99, Doi 10.1086/266934"
n85,"Realff Lynn, 2007, Transforming Sci Eng, P62"
n86,"Blau P., 1977, Inequality Heterogen"
n87,"Fischer Cs, 2009, Am Sociol Rev, V74, P657"
n88,"Paldony Joel M., 1997, Am Sociol Rev, V62, P673"
n89,"Tourangeau Roger, 2000, Psychol Survey Respo"
n90,"Litwin H, 2012, Aging Ment Health, V16, P608, Doi 10.1080/13607863.2011.644264"
n91,"Cornwell Ey, 2012, J Health Soc Behav, V53, P215, Doi 10.1177/0022146512446832"
n92,"Holbrook Allyson L., 2007, Adv Telephone Survey, P499, Doi Doi 10.1002/9780470173404.ch23"
n93,"Faria A. J., 1996, J Business Ind Marke, V11, P66, Doi 10.1108/08858629610112300"
n94,"Ferligoj A, 1999, Soc Networks, V21, P111, Doi 10.1016/s0378-8733(99)00007-6"
n95,"Kumbasar E, 1994, Am J Sociol, V100, P477, Doi 10.1086/230544"
n96,"Ibarra H, 1992, Admin Sci Quart, V37, P422, Doi 10.2307/2393451"
n97,"Fuller Wayne, 1987, Measurement Error Mo"
n98,"Smith Tw, 1984, Sociol Perspect, V27, P473"
n99,"Woodberry Rd, 1998, Am Sociol Rev, V63, P119, Doi 10.2307/2657483"
n100,"Bethlehem Jelke, 2002, Survey Nonresponse"
n101,"Misra J, 2012, Sociol Forum, V27, P300, Doi 10.1111/j.1573-7861.2012.01319.x"
n102,"Groves Rm, 2004, Public Opin Quart, V68, P2, Doi 10.1093/poq/nfh002"
n103,"Mcpherson M, 2009, Am Sociol Rev, V74, P670"
n104,"Fujimoto K, 2017, Med Care, V55, P102"
n105,"Fujimoto K, 2015, Am J Public Health, V105, P1128, Doi 10.2105/ajph.2014.302474"
n106,"Vincenty T., 1975, Surv Rev, V22, P88"
n107,"Maulsby C, 2013, Bmc Public Health, V13, Doi 10.1186/1471-2458-13-625"
n108,"Pingel Es, 2013, Sex Res Soc Policy, V10, P293, Doi 10.1007/s13178-013-0134-5"
n109,"Popielarz Pa, 2007, Annu Rev Sociol, V33, P65, Doi 10.1146/annurev.soc.32.061604.123118"
n110,"Magnus M, 2010, Jaids-j Acq Imm Def, V53, P529, Doi 10.1097/qai.0b013e3181b56404"
n111,"Thomas Jc, 1999, Soc Sci Med, V48, P1081, Doi 10.1016/s0277-9536(98)00408-0"
n112,"Ingram P, 2008, Acad Manag Ann, V2, P275, Doi 10.1080/19416520802211578"
n113,"Bauermeister Ja, 2009, Aids Behav, V13, P430, Doi 10.1007/s10461-008-9379-z"
n114,"Wang P, 2009, Pnet Program Simulat"
n115,"Mercken L, 2005, Am J Public Health, V105, P1814"
n116,"Hemmige V, 2012, J Gen Intern Med, V27, P1047, Doi 10.1007/s11606-012-2036-2"
n117,"Thomas James C, 2008, J Public Health Manag Pract, V14, Pe1"
n118,"Pattison P, 1999, Brit J Math Stat Psy, V52, P169, Doi 10.1348/000711099159053"
n119,"Hannan M., 1989, Org Ecology"
n120,"Hagberg A. A., 2008, P 7 Pyth Sci C Scipy, V2008, P11"
n121,"Borgatti Sp, 2003, J Manage, V29, P991, Doi 10.1016/s0149-2063(03)00087-4"
n122,"Valente Tw, 2008, Eval Program Plann, V31, P392, Doi 10.1016/j.evalprogplan.2008.06.002"
n123,"Wickizer Tm, 1993, Am J Public Health, V83, P561, Doi 10.2105/ajph.83.4.561"
n124,"Schneider Ja, 2013, Sex Transm Dis, V40, P459, Doi 10.1097/01.olq.0000430672.69321.0a"
n125,"Torian Lv, 2015, Jaids-j Acq Imm Def, V68, Pe63, Doi 10.1097/qai.0000000000000508"
n126,"Sohn Mw, 2002, Health Serv Res, V37, P457, Doi 10.1111/1475-6773.032"
n127,"Monge P, 2008, Commun Theor, V18, P449, Doi 10.1111/j.1468-2885.2008.00330.x"
n128,"Balaji Ab, 2013, Aids, V27, P269, Doi 10.1097/qad.0b013e32835ad489"
n129,"Baum Jac, 1991, Admin Sci Quart, V36, P187, Doi 10.2307/2393353"
n130,"Burt Rs, 1993, Soc Networks, V15, P133, Doi 10.1016/0378-8733(93)90002-3"
n131,"Housman Michael, 2013, Health Serv Manage Res, V26, P54, Doi 10.1177/0951484813502007"
n132,"Hannan Mt, 1977, Am J Sociol, V82, P929, Doi 10.1086/226424"
n133,"London S, 2012, Building Collaborati, P74"
n134,"Sorensen Jb, 2004, Ind Corp Change, V13, P149, Doi 10.1093/icc/13.1.149"
n135,"Mcpherson M, 1983, Am Sociol Rev, V48, P519, Doi 10.2307/2117719"
n136,"Valente Tw, 2007, Am J Public Health, V97, P880, Doi 10.2105/ajph.2005.063644"
n137,"Wang P, 2013, Exponential Random G, P115"
n138,"Holloway Iw, 2014, Prev Sci, V15, P419, Doi 10.1007/s11121-014-0462-6"
n139,"Oster Am, 2014, Aids Behav, V18, Ps237, Doi 10.1007/s10461-013-0566-1"
n140,"Mustanski Bs, 2011, J Sex Res, V48, P218, Doi 10.1080/00224499.2011.558645"
n141,"Schoen Mw, 2014, Soc Sci Med, V123, P90, Doi 10.1016/j.socscimed.2014.10.057"
n142,"Latkin C, 2010, Aids Behav, V14, Ps222, Doi 10.1007/s10461-010-9804-y"
n143,"Qualtrics, 2005, Qualtr Softw Vers 20"
n144,"Fujimoto K, 2009, J Community Psychol, V37, P830, Doi 10.1002/jcop.20333"
n145,"Kwait J, 2001, J Urban Health, V78, P468, Doi 10.1093/jurban/78.3.468"
n146,"Monge P. R., 2003, Theories Communicati"
n147,"Hightow-weidman Lb, 2011, Aids Patient Care St, V25, P37, Doi 10.1089/apc.2010.0192"
n148,"Thomas Jc, 2007, Sex Transm Dis, V34, P71, Doi 10.1097/01.olq.0000223281.30734.b1"
n149,"Lomi A, 2012, Soc Networks, V34, P101, Doi 10.1016/j.socnet.2010.10.005"
n150,"Sullivan Ps, 2014, Plos One, V9, Doi 10.1371/journal.pone.0090514"
n151,"Wright Er, 1995, Soc Networks, V17, P319, Doi 10.1016/0378-8733(95)00269-t"
n152,"Aldrich H., 2006, Org Evolving"
n153,"Schneider Ja, 2012, Sex Transm Dis, V39, P598, Doi 10.1097/olq.0b013e3182515cee"
n154,"Fujimoto K, 2013, Sex Transm Dis, V40, P453, Doi 10.1097/olq.0b013e31829186e5"
n155,"Bogachkov Ym, 2017, Inf Technol Learn To, V57, P173"
n156,"Melnik O.v., 2015, Ivano Frankivsk Nair"
n157,"Pasihov Yu. Ya., Ctr Students Competi"
n158,"Bukaeva A. A., 2015, Inn Sci Sb St Mat 42"
n159,"Hu Q, 2017, Int J Public Adm Dig, V4, P19, Doi 10.4018/ijpada.2017010102"
n160,"Lovejoy K, 2012, J Comput-mediat Comm, V17, P337, Doi 10.1111/j.1083-6101.2012.01576.x"
n161,"Waters R. D., 2012, J Intercultural Comm, V41, P297, Doi Doi 10.1080/17475759.2012.728772"
n162,"Guo C, 2005, Nonprof Volunt Sec Q, V34, P340, Doi 10.1177/0899764005275411"
n163,"Eng T. Y., 2011, Nonprofit Voluntary"
n164,"Guo C, 2014, Nonprof Volunt Sec Q, V43, P57, Doi 10.1177/0899764012471585"
n165,"Saxton G. D., 2013, Nonprofit Voluntary"
n166,"U. S. Census Bureau, 2012, 2012 Stat Abstract"
n167,"Kaplan R. S., 2001, Nonprofit Management, V11, P353, Doi Doi 10.1002/nml.11308"
n168,"Moore M. H., 2000, Nonprofit Voluntary, V29, P183, Doi Doi 10.1177/089976400773746391"
n169,"Penard T, 2010, J Econ Issues, V44, P569, Doi 10.2753/jei0021-3624440301"
n170,"Winterberg B., 2010, J Financial Planning, V23, P40"
n171,"Handy F, 2000, Nonprof Volunt Sec Q, V29, P439, Doi 10.1177/0899764000293005"
n172,"Nah S., 2013, New Media Soc"
n173,"Best Sj, 2006, Soc Sci Comput Rev, V24, P395, Doi 10.1177/0894439306286855"
n174,"Kerckhove D. D., 1997, Connected Intelligen"
n175,"Prell C, 2012, Social Network Anal"
n176,"Shier Ml, 2012, Int J Nonprofit Volu, V17, P219"
n177,"Kent Ml, 1998, Public Relat Rev, V24, P321, Doi 10.1016/s0363-8111(99)80143-x"
n178,"Pew Research Center, 2014, Social Media Update"
n179,"Reddick Cg, 2013, Nonprof Volunt Sec Q, V42, P1197, Doi 10.1177/0899764012452670"
n180,"Ingenhoff D, 2009, Public Relat Rev, V35, P66, Doi 10.1016/j.pubrev.2008.09.023"
n181,"Campbell Da, 2014, Public Admin Rev, V74, P655, Doi 10.1111/puar.12261"
n182,"Distaso M. W., 2013, Public Relat J, V7, P1"
n183,"Ellison N. B., 2011, New Media Soc"
n184,"National Center For Charitable Statistics (nccs), 2013, Us Stat Prof Summ Re"
n185,"Boyd D., 2008, Hist Scholarship J"
n186,"Kanter B., 2012, Measuring Networked"
n187,"Greenberg J., 2009, Global Media J Canad, V2, P63"
n188,"Ott J. S., 2001, Understanding Nonpro"
n189,"Pentecost R., 2010, Int J Nonprofit Volu, V15, P122"
n190,"Saxton G. D., 2012, China 3 Sector Res, V1, P40"
n191,"Swanson La, 2013, Nonprofit Manag Lead, V23, P303, Doi 10.1002/nml.21067"
n192,"Networkforgood, 2013, Netw Good Dig Giv In"
n193,"Waters Rd, 2009, Public Relat Rev, V35, P102, Doi 10.1016/j.pubrev.2009.01.006"
n194,"Schultz M., 2005, Strateg Organ, V3, P337, Doi 10.1177/1476127005055795"
n195,"Waters Rd, 2011, Nonprof Volunt Sec Q, V40, P458, Doi 10.1177/0899764009354322"
n196,"Wellman B, 2001, Am Behav Sci, V45, P436, Doi 10.1177/00027640121957286"
n197,"Leon Rd, 2017, Technol Forecast Soc, V114, P103, Doi 10.1016/j.techfore.2016.07.032"
n198,"Baer M, 2015, Organ Psychol Rev, V5, P191, Doi 10.1177/2041386614564105"
n199,"Deng Sg, 2014, Expert Syst Appl, V41, P8075, Doi 10.1016/j.eswa.2014.07.012"
n200,"Yin Fs, 2015, Technol Forecast Soc, V99, P267, Doi 10.1016/j.techfore.2015.07.019"
n201,"Zhang Xj, 2013, Mis Quart, V37, P695"
n202,"Giuliani E., 2011, Technical Notes Inte"
n203,"Walter M., 2015, Comput Oper Res"
n204,"Nonaka I., 1995, Knowledge Creating C"
n205,"Soroka Sn, 2012, J Polit, V74, P514, Doi 10.1017/s002238161100171x"
n206,"Ahmad A, 2014, Comput Secur, V42, P27, Doi 10.1016/j.cose.2014.01.001"
n207,"Bernard H. Russell, 1981, Connections, V4, P11"
n208,"Scott Ks, 2016, Internet High Educ, V29, P75, Doi 10.1016/j.iheduc.2015.12.005"
n209,"Wu L, 2013, Inform Syst Res, V24, P30, Doi 10.1287/isre.1120.0465"
n210,"Shirky C., 2008, Here Comes Everybody"
n211,"Huizingh Ekre, 2011, Technovation, V31, P2, Doi 10.1016/j.technovation.2010.10.002"
n212,"Lakhani Kr, 2003, Res Policy, V32, P923, Doi 10.1016/s0048-7333(02)00095-1"
n213,"Trusov M, 2010, J Marketing Res, V47, P643"
n214,"Lu Y, 2010, J Comput Inform Syst, V51, P31"
n215,"Bianchi M, 2011, R&d Manage, V41, P120, Doi 10.1111/j.1467-9310.2010.00632.x"
n216,"Salavisa I, 2012, Technovation, V32, P380, Doi 10.1016/j.technovation.2012.02.003"
n217,"Yoo D, 2014, Expert Syst Appl, V41, P1331, Doi 10.1016/j.eswa.2013.08.031"
n218,"Burt R. S., 2001, Social Capital Theor, P31"
n219,"Albert R, 2000, Nature, V406, P378, Doi 10.1038/35019019"
n220,"Dimicco J. M., 2009, P Haw Int C Syst Sci"
n221,"Premkumar G, 2008, Inform Manage-amster, V45, P451, Doi 10.1016/j.im.2008.06.008"
n222,"Chui M., 2012, Social Ec Unlocking"
n223,"Ritala P, 2015, Technovation, V35, P22, Doi 10.1016/j.technovation.2014.07.011"
n224,"Qualman E., 2009, Socialnomics Social"
n225,"Kane Gc, 2011, Mis Quart, V35, P1063"
n226,"Borgatti Sp, 2009, J Supply Chain Manag, V45, P5, Doi 10.1111/j.1745-493x.2009.03166.x"
n227,"Love Jh, 2011, Res Policy, V40, P1438, Doi 10.1016/j.respol.2011.05.016"
n228,"Hajli N, 2015, Technol Forecast Soc, V96, P232, Doi 10.1016/j.techfore.2015.03.014"
n229,"Leonardi Pm, 2013, J Comput-mediat Comm, V19, P1, Doi 10.1111/jcc4.12029"
n230,"Holland Pw, 1981, J Am Stat Assoc, V76, P33, Doi 10.2307/2287037"
n231,"Marabelli M, 2012, J Strategic Inf Syst, V21, P18, Doi 10.1016/j.jsis.2011.11.002"
n232,"Kamoche K, 2014, Organ Stud, V35, P989, Doi 10.1177/0170840614525325"
n233,"Al-oufi S, 2012, Expert Syst Appl, V39, P13173, Doi 10.1016/j.eswa.2012.05.084"
n234,"Kwahk Ky, 2016, Comput Hum Behav, V55, P826, Doi 10.1016/j.chb.2015.09.044"
n235,"Hu Ys, 2013, Technovation, V33, P38, Doi 10.1016/j.technovation.2012.10.001"
n236,"Robison Lj, 2010, Relationship Economics: The Social Capital Paradigm And It's Application To Business, Politics And Other Transactions, P1"
n237,"Tsai Mt, 2013, Qual Quant, V47, P2739, Doi 10.1007/s11135-012-9685-4"
n238,"Wuchty S, 2011, Plos One, V6, Doi 10.1371/journal.pone.0026972"
n239,"Foster P, 2011, Poetics, V39, P247, Doi 10.1016/j.poetic.2011.05.004"
n240,"Howison J, 2011, J Assoc Inf Syst, V12, P767"
n241,"Behrendt S, 2014, Comput Netw, V75, P560, Doi 10.1016/j.comnet.2014.08.025"
n242,"Leroy P., 2013, Org Change Inform Sy, P109"
n243,"Sarker S, 2011, J Manage Inform Syst, V28, P273, Doi 10.2753/mis0742-1222280109"
n244,"Evans D., 2008, Social Media Marketi"
n245,"Marcoulides Ga, 2009, Mis Quart, V33, P171"
n246,"Freeman L., 2004, Dev Social Network A"
n247,"Grant Rm, 1996, Strategic Manage J, V17, P109, Doi 10.1002/smj.4250171110"
n248,"Wu J., 2007, Icis 2007 P Int C In"
n249,"Huang Cc, 2009, Technovation, V29, P786, Doi 10.1016/j.technovation.2009.04.003"
n250,"Suki Norazah Mohd, 2011, International Journal Of Technology And Human Interaction, V7, P38, Doi 10.4018/jthi.2011040105"
n251,"Schonfeld E., 2008, Yammer Lauches Tc50"
n252,"Teece Dj, 1997, Strategic Manage J, V18, P509, Doi 10.1002/(sici)1097-0266(199708)18:7<509::aid-smj882>3.0.co;2-z"
n253,"Venkatesh V, 2013, Mis Quart, V37, P21"
n254,"Sakalaki M, 2012, Stud Psychol, V54, P157"
n255,"Kane Gc, 2014, Mis Quart, V38, P275"
n256,"Chang Cc, 2015, Technol Forecast Soc, V95, P48, Doi 10.1016/j.techfore.2014.03.012"
n257,"Smith Ep, 2014, Am J Commun Psychol, V53, P491, Doi 10.1007/s10464-014-9656-0"
n258,"West J, 2014, J Prod Innovat Manag, V31, P814, Doi 10.1111/jpim.12125"
n259,"Zhou Lx, 2007, J Int Bus Stud, V38, P673, Doi 10.1057/palgrave.jibs.8400282"
n260,"Singh H., 2015, Strateg Manag J"
n261,"Tasselli S, 2015, Organ Stud, V36, P841, Doi 10.1177/0170840614556917"
n262,"Rohrbeck R, 2015, Technol Forecast Soc, V97, P115, Doi 10.1016/j.techfore.2013.09.015"
n263,"Ye Ch, 2013, Telecommun Syst, V54, P315, Doi 10.1007/s11235-013-9736-8"
n264,"Fernandes S, 2016, Technol Soc, V44, P15, Doi 10.1016/j.techsoc.2015.11.004"
n265,"Bernasek A., 2010, Ec Integrity"
n266,"Eisenhardt Km, 2000, Strategic Manage J, V21, P1105, Doi 10.1002/1097-0266(200010/11)21:10/11<1105::aid-smj133>3.0.co;2-e"
n267,"Reagans Re, 2008, Ind Corp Change, V17, P903, Doi 10.1093/icc/dtn036"
n268,"Steenkamp J. B. E. M., 2000, J Res Mark, V17, P195"
n269,"Rodriguez-rodriguez R., 2015, Int C Sust Des Man 1"
n270,"Zhu B, 2010, Decis Support Syst, V49, P151, Doi 10.1016/j.dss.2010.02.001"
n271,"Centola D, 2007, Am J Sociol, V113, P702, Doi 10.1086/521848"
n272,"Nicolini D, 2011, Organ Sci, V22, P602, Doi 10.1287/orsc.1100.0556"
n273,"Wyld D. C., 2008, Management Res News, V31, P448, Doi Doi 10.1108/01409170810876044"
n274,"Lind Mr, 2000, Comput Oper Res, V27, P1153, Doi 10.1016/s0305-0548(99)00150-1"
n275,"Arend Rj, 2014, Strategic Manage J, V35, P376, Doi 10.1002/smj.2095"
n276,"Garud Raghu, 1997, Adv Strateg Manage, V14, P81"
n277,"Nonaka I, 2009, Organ Sci, V20, P635, Doi 10.1287/orsc.1080.0412"
n278,"Cyr S, 2010, J Doc, V66, P824, Doi 10.1108/00220411011087832"
n279,"Chau M, 2007, Int J Hum-comput St, V65, P57, Doi 10.1016/j.ijhcs.2006.08.009"
n280,"Kowalska K, 2016, Oecon Copernic, V7, P653, Doi 10.12775/oec.2016.036"
n281,"Unctad, 2001, World Inv Rep 2001 P"
n282,"Cwik N., 2010, Wywiad Profesorem N"
n283,"Nakonieczna J., 2008, Spoleczna Odpowiedzi"
n284,"Przybylska K., 2005, Problemy Regionalne"
n285,"Donaldson T., 1989, Ethics Int Business"
n286,"Przybylska K., 2013, Born Global Nowa Gen"
n287,"Gorynia M., 2007, Strategie Zagraniczn"
n288,"Taymaz E., 2005, Regional Studies, V39"
n289,"[anonymous], 2002, Inf Wyn Kontr Lok Du"
n290,"Forum Odpowiedzialnego Biznesu, 2011, Wspoln Odp Rol Dost"
n291,"Ratajczak-mrozek M., 2010, Sieci Biznesowe Prze"
n292,"Kowalska K., 2012, Rozwoj Polskich Siec"
n293,"Przybylska K., 2001, Determinanty Zagrani"
n294,"Krall J., 2001, Silna Marka Istota K"
n295,"Belderbos R, 2001, World Dev, V29, P189, Doi 10.1016/s0305-750x(00)00086-3"
n296,"Burt R, 2001, Social Capital Theor"
n297,"Mikula B., 2006, Org Oparte Wiedzy"
n298,"Colla E., 1997, Grande Distribution"
n299,"Michalowska G., 1994, Stosunki Miedzyspole"
n300,"Hansen M. W., 2006, Transnational Corpor"
n301,"Domanski T., 2001, Strategie Marketingo"
n302,"Robbins R. H, 2006, Globalne Problemy Ku"
n303,"Jarillo J. C., 1995, Strategic Networks C"
n304,"Klimkiewicz K., 2011, Spoleczna Odpowiedzi"
n305,"Gorynia M., 2005, Strategie Firm Polsk"
n306,"Shirish A, 2016, Int J Inform Manage, V36, P1111, Doi 10.1016/j.ijinfomgt.2016.04.002"
n307,"Smola Kw, 2002, J Organ Behav, V23, P363, Doi 10.1002/job.147"
n308,"Sena J., 2008, Issues Inform System, Vix, P227"
n309,"Constant D, 1994, Inform Syst Res, V5, P400, Doi 10.1287/isre.5.4.400"
n310,"Ryder Nb, 1965, Am Sociol Rev, V30, P843, Doi 10.2307/2090964"
n311,"Bitner Mj, 2002, Acad Manage Exec, V16, P96"
n312,"Szalma Jl, 2014, Hum Factors, V56, P1453, Doi 10.1177/0018720814553471"
n313,"Real K, 2010, J Bus Psychol, V25, P303, Doi 10.1007/s10869-010-9163-8"
n314,"Li Charlene, 2015, Harvard Business Rev"
n315,"Shore Lm, 1993, J Appl Psychol, V78, P774, Doi 10.1037/0021-9010.78.5.774"
n316,"Chen Dq, 2010, Mis Quart, V34, P233"
n317,"Rajagopal N., 2009, Vilakshan Ximb J Man, V6, P15"
n318,"Pardue Karen T, 2008, Nurs Educ Perspect, V29, P74"
n319,"Malone T, 2009, 2009001 Mit Ctr Coll"
n320,"Haefliger S, 2011, Long Range Plann, V44, P297, Doi 10.1016/j.lrp.2011.08.001"
n321,"Mcafee Ap, 2006, Mit Sloan Manage Rev, V47, P21"
n322,"Hershatter A, 2010, J Bus Psychol, V25, P211, Doi 10.1007/s10869-010-9160-y"
n323,"Sox Cb, 2014, Int J Hosp Manag, V36, P244, Doi 10.1016/j.ijhm.2013.09.009"
n324,"Anandarajan M, 2010, Ieee T Prof Commun, V53, P132, Doi 10.1109/tpc.2010.2046082"
n325,"Hsieh Jjpa, 2007, Eur J Inform Syst, V16, P216, Doi 10.1057/palgrave.ejis.3000663"
n326,"Johns G, 2006, Acad Manage Rev, V31, P386"
n327,"Rawlins C., 2008, J Org Culture Commun, V12, P1"
n328,"De Hauw S, 2010, J Bus Psychol, V25, P293, Doi 10.1007/s10869-010-9162-9"
n329,"Haeger Dl, 2014, Technol Forecast Soc, V89, P316, Doi 10.1016/j.techfore.2014.08.009"
n330,"Kim Jh, 2010, Int J Hum-comput Int, V26, P1077, Doi 10.1080/10447318.2010.516726"
n331,"Cho Jw, 2011, Inform Manage-amster, V48, P270, Doi 10.1016/j.im.2011.07.003"
n332,"Anderson P., 2007, Technology, V60, P1"
n333,"Bamberger P, 2008, Acad Manage J, V51, P839"
n334,"Burton-jones A, 2007, Mis Quart, V31, P657"
n335,"De Vreede Gj, 2009, J Assoc Inf Syst, V10, P121"
n336,"Cramton Cd, 2001, Organ Sci, V12, P346, Doi 10.1287/orsc.12.3.346.10098"
