Source,Target
n1092,n1133
n1092,n1158
n1092,n1134
n1092,n1109
n1092,n1163
n1092,n1166
n1092,n1111
n1092,n1159
n1092,n1124
n1092,n1128
n1092,n1101
n1092,n1139
n1092,n1150
n1092,n1145
n1092,n1154
n1092,n1152
n1092,n1108
n1092,n1115
n1092,n1096
n1092,n1136
n1092,n1113
n1092,n1160
n1092,n1138
n1092,n1162
n1092,n1161
n1092,n1102
n1092,n1147
n1092,n1141
n1092,n1105
n1092,n1165
n1092,n1094
n1092,n1099
n1092,n1142
n1092,n1126
n1092,n1155
n1092,n1110
n1092,n1125
n1092,n1098
n1092,n1156
n1092,n1112
n1167,n1182
n1167,n1175
n1167,n1200
n1167,n1215
n1167,n1178
n1167,n1171
n1167,n1206
n1167,n1207
n1167,n1176
n1167,n1187
n1167,n1184
n1167,n1174
n1167,n872
n1167,n1192
n1167,n890
n1167,n1168
n1167,n1203
n1167,n409
n1167,n1185
n1167,n1222
n1167,n1193
n1167,n1210
n1167,n1173
n1167,n1179
n1167,n1190
n1167,n1180
n1167,n1202
n1167,n5925
n1167,n1213
n1167,n1218
n1167,n1189
n1167,n1191
n1167,n75
n1167,n1217
n1167,n1209
n1167,n1214
n1167,n1221
n1167,n1198
n1167,n1197
n1167,n1212
n1167,n1204
n1167,n1216
n1167,n1181
n1167,n1219
n1167,n1208
n1167,n1177
n1167,n1188
n1167,n1205
n1167,n1170
n1167,n1194
n1167,n4757
n1167,n1186
n1167,n1199
n1167,n1183
n1167,n1220
n1167,n65
n1167,n1201
n1167,n1169
n1167,n1172
n1167,n1195
n1167,n1196
n1167,n1211
n1223,n1227
n1223,n1230
n1223,n1226
n1223,n1258
n1223,n1247
n1223,n1251
n1223,n1259
n1223,n1244
n1223,n832
n1223,n1240
n1223,n1246
n1223,n1257
n1223,n1243
n1223,n1235
n1223,n1250
n1223,n1256
n1223,n1228
n1223,n1245
n1223,n1249
n1223,n392
n1223,n1254
n1223,n1225
n1223,n1233
n1223,n1252
n1223,n1236
n1223,n1237
n1223,n1232
n1223,n1241
n1223,n1253
n1223,n1231
n1223,n1229
n1223,n1248
n1223,n1234
n1223,n1242
n1223,n1224
n1223,n1238
n1223,n1239
n1223,n1255
n520,n1281
n520,n1266
n520,n1283
n520,n1293
n520,n1178
n520,n1212
n520,n1270
n520,n1292
n520,n1262
n520,n1279
n520,n1282
n520,n1291
n520,n1267
n520,n1284
n520,n1287
n520,n1290
n520,n1273
n520,n1278
n520,n1272
n520,n1289
n520,n1285
n520,n1288
n520,n1271
n520,n1275
n520,n1280
n520,n1276
n520,n1286
n520,n1261
n520,n1263
n520,n1269
n520,n1265
n520,n1274
n520,n1277
n520,n1264
n520,n1260
n520,n1214
n520,n1211
n520,n1268
n1294,n1308
n1294,n1306
n1294,n1311
n1294,n1301
n1294,n1307
n1294,n1312
n1294,n1304
n1294,n385
n1294,n1295
n1294,n1299
n1294,n1300
n1294,n1310
n1294,n1302
n1294,n344
n1294,n1303
n1294,n1305
n1294,n1296
n1294,n1298
n1294,n1309
n1294,n1297
n1313,n1334
n1313,n1319
n1313,n1318
n1313,n1320
n1313,n1317
n1313,n1336
n1313,n1340
n1313,n1327
n1313,n1322
n1313,n1335
n1313,n1325
n1313,n1326
n1313,n1315
n1313,n1321
n1313,n1323
n1313,n1330
n1313,n1337
n1313,n1324
n1313,n1314
n1313,n1328
n1313,n1316
n1313,n1331
n1313,n1332
n1313,n1343
n1313,n1329
n1313,n1339
n1313,n1333
n1313,n1338
n1313,n1342
n1313,n1341
n1344,n1347
n1344,n1388
n1344,n1373
n1344,n1398
n1344,n1349
n1344,n1345
n1344,n1358
n1344,n1364
n1344,n1369
n1344,n1350
n1344,n1359
n1344,n1370
n1344,n1372
n1344,n1379
n1344,n1371
n1344,n1397
n1344,n1390
n1344,n1394
n1344,n1353
n1344,n1382
n1344,n1393
n1344,n1357
n1344,n1389
n1344,n1391
n1344,n1354
n1344,n1355
n1344,n1376
n1344,n1346
n1344,n1348
n1344,n1377
n1344,n1381
n1344,n1363
n1344,n1386
n1344,n1365
n1344,n1362
n1344,n1360
n1344,n1378
n1344,n1399
n1344,n1356
n1344,n1366
n1344,n1367
n1344,n1387
n1344,n1352
n1344,n1374
n1344,n1361
n1344,n1380
n1344,n1396
n1344,n1395
n1344,n1351
n1344,n1384
n1344,n1385
n1344,n1375
n1344,n1368
n1344,n1392
n1344,n1383
n1400,n1401
n1402,n1430
n1402,n1411
n1402,n1447
n1402,n1427
n1402,n1414
n1402,n1428
n1402,n1433
n1402,n1405
n1402,n901
n1402,n1407
n1402,n1435
n1402,n1409
n1402,n1426
n1402,n1420
n1402,n1423
n1402,n1425
n1402,n1415
n1402,n1438
n1402,n1434
n1402,n1436
n1402,n1412
n1402,n1444
n1402,n1422
n1402,n1443
n1402,n1445
n1402,n1424
n1402,n1417
n1402,n1403
n1402,n1437
n1402,n1408
n1402,n1421
n1402,n1446
n1402,n1441
n1402,n5925
n1402,n1432
n1402,n1442
n1402,n1406
n1402,n1410
n1402,n853
n1402,n1418
n1402,n1419
n1402,n1404
n1402,n1429
n1402,n1440
n1402,n1413
n1402,n1416
n1402,n1431
n1402,n1439
n1448,n1481
n1448,n1466
n1448,n1469
n1448,n1468
n1448,n1488
n1448,n1472
n1448,n1492
n1448,n1449
n1448,n894
n1448,n344
n1448,n1485
n1448,n1452
n1448,n1456
n1448,n1463
n1448,n1454
n1448,n1450
n1448,n1470
n1448,n1477
n1448,n1496
n1448,n1460
n1448,n1474
n1448,n1475
n1448,n1476
n1448,n1482
n1448,n1491
n1448,n1495
n1448,n1493
n1448,n1483
n1448,n1494
n1448,n1451
n1448,n1465
n1448,n1478
n1448,n1489
n1448,n1486
n1448,n1467
n1448,n1462
n1448,n1484
n1448,n1487
n1448,n1497
n1448,n1453
n1448,n1471
n1448,n1480
n1448,n1455
n1448,n1458
n1448,n1464
n1448,n1459
n1448,n1461
n1448,n1490
n1448,n1473
n1448,n1479
n1448,n1457
n1498,n1516
n1498,n1508
n1498,n1505
n1498,n1523
n1498,n1503
n1498,n1499
n1498,n1501
n1498,n1502
n1498,n1519
n1498,n1506
n1498,n1520
n1498,n1511
n1498,n1500
n1498,n1512
n1498,n1513
n1498,n1521
n1498,n1507
n1498,n1509
n1498,n1517
n1498,n1504
n1498,n1518
n1498,n1510
n1498,n1522
n1498,n1515
n1498,n1514
n1524,n1549
n1524,n1552
n1524,n1529
n1524,n1540
n1524,n1530
n1524,n1533
n1524,n1553
n1524,n1537
n1524,n1555
n1524,n1558
n1524,n1536
n1524,n1548
n1524,n1564
n1524,n1544
n1524,n1532
n1524,n1559
n1524,n1561
n1524,n1554
n1524,n1551
n1524,n1562
n1524,n1527
n1524,n1541
n1524,n1547
n1524,n1546
n1524,n1534
n1524,n600
n1524,n1535
n1524,n1542
n1524,n1543
n1524,n1550
n1524,n1525
n1524,n1545
n1524,n1565
n1524,n1539
n1524,n1526
n1524,n1528
n1524,n1563
n1524,n1538
n1524,n1557
n1524,n1556
n1524,n1531
n1524,n1560
n1566,n1639
n1566,n411
n1566,n1574
n1566,n1591
n1566,n1608
n1566,n1649
n1566,n1645
n1566,n1583
n1566,n1578
n1566,n1640
n1566,n1642
n1566,n872
n1566,n1587
n1566,n1630
n1566,n1586
n1566,n1617
n1566,n1593
n1566,n1582
n1566,n1628
n1566,n1638
n1566,n1647
n1566,n1607
n1566,n1585
n1566,n1641
n1566,n1644
n1566,n1631
n1566,n1573
n1566,n1569
n1566,n1571
n1566,n1636
n1566,n1598
n1566,n1627
n1566,n1633
n1566,n1575
n1566,n1581
n1566,n1609
n1566,n218
n1566,n1643
n1566,n1604
n1566,n1619
n1566,n1611
n1566,n1621
n1566,n1567
n1566,n1637
n1566,n1614
n1566,n1589
n1566,n121
n1566,n1615
n1566,n1576
n1566,n1622
n1566,n1568
n1566,n1613
n1566,n1626
n1566,n1624
n1566,n1588
n1566,n1590
n1566,n1601
n1566,n1599
n1566,n1634
n1566,n1620
n1566,n1606
n1566,n1594
n1566,n1605
n1566,n1618
n1566,n1623
n1566,n1632
n1566,n1616
n1566,n1603
n1566,n1610
n1566,n1612
n1566,n1629
n1566,n1577
n1566,n1648
n1566,n4757
n1566,n1597
n1566,n1579
n1566,n3
n1566,n1602
n1566,n1625
n1566,n1646
n1566,n1580
n1566,n1410
n1566,n1635
n1566,n1584
n1566,n1570
n1566,n1600
n1566,n1572
n1566,n1592
n1566,n1596
n1566,n9
n1566,n1595
n1650,n1654
n1650,n1653
n1650,n1651
n1650,n1652
n1655,n1666
n1655,n1751
n1655,n1767
n1655,n1778
n1655,n1753
n1655,n1709
n1655,n1746
n1655,n1683
n1655,n1680
n1655,n1779
n1655,n1756
n1655,n1741
n1655,n1774
n1655,n1745
n1655,n1667
n1655,n392
n1655,n1776
n1655,n1701
n1655,n1662
n1655,n1784
n1655,n1697
n1655,n1700
n1655,n1782
n1655,n1682
n1655,n1740
n1655,n1734
n1655,n1726
n1655,n1772
n1655,n1705
n1655,n1708
n1655,n1731
n1655,n1744
n1655,n1688
n1655,n1671
n1655,n1657
n1655,n1677
n1655,n1695
n1655,n1668
n1655,n1752
n1655,n1773
n1655,n1656
n1655,n1664
n1655,n1670
n1655,n1735
n1655,n1711
n1655,n1737
n1655,n1698
n1655,n1718
n1655,n1764
n1655,n1669
n1655,n1690
n1655,n1696
n1655,n1678
n1655,n1704
n1655,n1703
n1655,n1672
n1655,n1743
n1655,n1658
n1655,n1785
n1655,n1702
n1655,n1775
n1655,n1673
n1655,n1689
n1655,n1716
n1655,n1725
n1655,n1679
n1655,n1724
n1655,n1750
n1655,n1722
n1655,n1675
n1655,n1661
n1655,n1771
n1655,n1760
n1655,n1761
n1655,n1730
n1655,n1747
n1655,n1692
n1655,n1720
n1655,n1684
n1655,n1676
n1655,n1693
n1655,n1781
n1655,n1723
n1655,n1758
n1655,n1685
n1655,n1715
n1655,n1755
n1655,n1665
n1655,n1712
n1655,n1729
n1655,n1783
n1655,n1663
n1655,n1710
n1655,n1694
n1655,n1738
n1655,n1763
n1655,n1721
n1655,n1762
n1655,n1659
n1655,n1691
n1655,n1707
n1655,n1768
n1655,n1780
n1655,n1706
n1655,n1770
n1655,n1727
n1655,n1765
n1655,n1748
n1655,n1177
n1655,n1757
n1655,n1766
n1655,n1739
n1655,n1749
n1655,n1674
n1655,n1728
n1655,n1681
n1655,n1687
n1655,n1713
n1655,n1754
n1655,n1660
n1655,n1733
n1655,n1719
n1655,n1759
n1655,n1714
n1655,n1769
n1655,n1777
n1655,n1699
n1655,n1686
n1655,n1742
n1655,n1732
n1655,n1717
n1655,n1736
n1786,n1805
n1786,n1856
n1786,n1817
n1786,n1821
n1786,n1849
n1786,n1838
n1786,n1807
n1786,n1837
n1786,n1797
n1786,n1845
n1786,n1811
n1786,n1798
n1786,n1835
n1786,n5925
n1786,n1633
n1786,n1213
n1786,n1803
n1786,n1795
n1786,n1787
n1786,n1826
n1786,n1843
n1786,n1197
n1786,n1212
n1786,n1844
n1786,n1791
n1786,n1842
n1786,n1834
n1786,n1792
n1786,n1188
n1786,n1796
n1786,n1194
n1786,n4757
n1786,n1186
n1786,n1819
n1786,n1793
n1786,n1804
n1786,n1854
n1786,n1822
n1786,n1827
n1786,n1841
n1786,n1800
n1786,n1790
n1786,n1850
n1786,n1840
n1786,n1649
n1786,n1206
n1786,n1829
n1786,n1176
n1786,n1815
n1786,n1816
n1786,n1174
n1786,n1853
n1786,n890
n1786,n1806
n1786,n1812
n1786,n1832
n1786,n1833
n1786,n1173
n1786,n1179
n1786,n1839
n1786,n1828
n1786,n1855
n1786,n1813
n1786,n1820
n1786,n1218
n1786,n1209
n1786,n1814
n1786,n1214
n1786,n1836
n1786,n1799
n1786,n1789
n1786,n400
n1786,n1204
n1786,n1818
n1786,n1847
n1786,n1219
n1786,n1852
n1786,n1788
n1786,n1825
n1786,n1170
n1786,n1830
n1786,n1808
n1786,n1824
n1786,n1851
n1786,n1199
n1786,n1169
n1786,n1823
n1786,n1801
n1786,n1831
n1786,n1794
n1786,n1809
n1786,n1810
n1786,n1802
n1786,n1195
n1786,n1848
n1786,n1846
n1786,n1211
n1857,n1859
n1857,n1863
n1857,n1864
n1857,n1869
n1857,n1860
n1857,n1865
n1857,n1861
n1857,n1858
n1857,n1871
n1857,n1870
n1857,n1862
n1857,n1867
n1857,n1868
n1857,n1866
n1872,n1903
n1872,n1880
n1872,n1904
n1872,n1905
n1872,n1893
n1872,n1874
n1872,n1908
n1872,n1875
n1872,n1896
n1872,n1887
n1872,n1889
n1872,n1900
n1872,n1901
n1872,n1877
n1872,n1907
n1872,n1881
n1872,n1883
n1872,n1909
n1872,n1910
n1872,n1912
n1872,n1906
n1872,n1894
n1872,n1911
n1872,n1888
n1872,n2947
n1872,n1890
n1872,n1873
n1872,n1885
n1872,n1897
n1872,n1886
n1872,n1902
n1872,n1891
n1872,n1916
n1872,n1878
n1872,n1913
n1872,n1899
n1872,n1914
n1872,n1898
n1872,n1879
n1872,n1882
n1872,n1892
n1872,n1895
n1872,n1884
n1872,n1876
n1872,n1915
n1917,n1936
n1917,n1919
n1917,n1921
n1917,n1967
n1917,n1927
n1917,n1962
n1917,n1948
n1917,n1947
n1917,n1926
n1917,n1925
n1917,n1923
n1917,n1931
n1917,n1937
n1917,n1958
n1917,n1950
n1917,n1924
n1917,n1929
n1917,n1951
n1917,n1918
n1917,n1949
n1917,n1971
n1917,n1968
n1917,n1960
n1917,n1961
n1917,n1942
n1917,n775
n1917,n1954
n1917,n1956
n1917,n1965
n1917,n400
n1917,n1966
n1917,n1920
n1917,n1959
